id,title,handle,description,status,category_id,type,collection_id,tags,thumbnail,weight,length,height,width,hs_code,origin_country,mid_code,material
prod_109,Delan - VARIOS COLEGIOS,delan-varios-colegios,Uniforme escolar - Delantal ,published,college_7,uniform,,"VARIOS COLEGIOS,Delantal ",,,,,,,CL,,
prod_110,Delan azul - VARIOS COLEGIOS,delan-azul-varios-colegios,Uniforme escolar - Delantal azul,published,college_7,uniform,,"VARIOS COLEGIOS,Delantal azul",,,,,,,CL,,
prod_111,short - SOLRÍE,short-solre,Uniforme escolar - short,published,college_6,uniform,,"SOLRÍE,short",,,,,,,CL,,
prod_112,Calza - SOLRÍE,calza-solre,Uniforme escolar - Calza,published,college_6,uniform,,"SOLRÍE,Calza",,,,,,,CL,,
prod_113,calza - SOLRÍE,calza-solre,Uniforme escolar - calza,published,college_6,uniform,,"SOLRÍE,calza",,,,,,,CL,,
prod_114,calza larga - SOLRÍE,calza-larga-solre,Uniforme escolar - calza larga,published,college_6,uniform,,"SOLRÍE,calza larga",,,,,,,CL,,
prod_115,Delan Blanco - VARIOS COLEGIOS,delan-blanco-varios-colegios,Uniforme escolar - Delantal Blanco,published,college_7,uniform,,"VARIOS COLEGIOS,Delantal Blanco",,,,,,,CL,,
prod_116,co - VARIOS COLEGIOS,co-varios-colegios,Uniforme escolar - cotona,published,college_7,uniform,,"VARIOS COLEGIOS,cotona",,,,,,,CL,,
prod_117,Pan buzo - VARIOS COLEGIOS,pan-buzo-varios-colegios,Uniforme escolar - Pantalon buzo,published,college_7,uniform,,"VARIOS COLEGIOS,Pantalon buzo",,,,,,,CL,,
prod_118,parkas - VARIOS COLEGIOS,parkas-varios-colegios,Uniforme escolar - parkas,published,college_7,uniform,,"VARIOS COLEGIOS,parkas",,,,,,,CL,,
prod_119,Poleras - VARIOS COLEGIOS,poleras-varios-colegios,Uniforme escolar - Poleras,published,college_7,uniform,,"VARIOS COLEGIOS,Poleras",,,,,,,CL,,
prod_120,Poleron - VARIOS COLEGIOS,poleron-varios-colegios,Uniforme escolar - Poleron,published,college_7,uniform,,"VARIOS COLEGIOS,Poleron",,,,,,,CL,,
prod_121,poleras - VARIOS COLEGIOS,poleras-varios-colegios,Uniforme escolar - poleras,published,college_7,uniform,,"VARIOS COLEGIOS,poleras",,,,,,,CL,,
prod_122,pan buzo - NUEVO HORIZONTE,pan-buzo-nuevo-horizonte,Uniforme escolar - pantalon buzo,published,college_3,uniform,,"NUEVO HORIZONTE,pantalon buzo",,,,,,,CL,,
prod_123,7 - COLEGIO LOS REYES,7-colegio-los-reyes,Uniforme escolar - 7,published,college_1,uniform,,"COLEGIO LOS REYES,7",,,,,,,CL,,
prod_124,Pan Buzo - COLEGIO LOS REYES,pan-buzo-colegio-los-reyes,Uniforme escolar - Pantalon Buzo,published,college_1,uniform,,"COLEGIO LOS REYES,Pantalon Buzo",,,,,,,CL,,
prod_125,Chaque - COLEGIO LOS REYES,chaque-colegio-los-reyes,Uniforme escolar - Chaqueta ,published,college_1,uniform,,"COLEGIO LOS REYES,Chaqueta ",,,,,,,CL,,
prod_126,Pan Buzo - COLEGIO LOS REYES,pan-buzo-colegio-los-reyes,Uniforme escolar - Pantalon Buzo ,published,college_1,uniform,,"COLEGIO LOS REYES,Pantalon Buzo ",,,,,,,CL,,
prod_127,Chaque - COLEGIO LOS REYES,chaque-colegio-los-reyes,Uniforme escolar - Chaquetas,published,college_1,uniform,,"COLEGIO LOS REYES,Chaquetas",,,,,,,CL,,
prod_128,Chaque - COLEGIO LOS REYES,chaque-colegio-los-reyes,Uniforme escolar - Chaqueta,published,college_1,uniform,,"COLEGIO LOS REYES,Chaqueta",,,,,,,CL,,
prod_129,Poleron azul - COLEGIO LOS REYES,poleron-azul-colegio-los-reyes,Uniforme escolar - Poleron azul,published,college_1,uniform,,"COLEGIO LOS REYES,Poleron azul",,,,,,,CL,,
prod_130,Pan buzo - COLEGIO LOS REYES,pan-buzo-colegio-los-reyes,Uniforme escolar - Pantalon buzo,published,college_1,uniform,,"COLEGIO LOS REYES,Pantalon buzo",,,,,,,CL,,
prod_131,jockey - SUEÑOS MAGICOS,jockey-sueos-magicos,Uniforme escolar - jockey,published,college_5,uniform,,"SUEÑOS MAGICOS,jockey",,,,,,,CL,,
prod_132,Poleras - COLEGIO LOS REYES,poleras-colegio-los-reyes,Uniforme escolar - Poleras,published,college_1,uniform,,"COLEGIO LOS REYES,Poleras",,,,,,,CL,,
prod_133,poleras - COLEGIO LOS REYES,poleras-colegio-los-reyes,Uniforme escolar - poleras,published,college_1,uniform,,"COLEGIO LOS REYES,poleras",,,,,,,CL,,
prod_134,Polera - COLEGIO LOS REYES,polera-colegio-los-reyes,Uniforme escolar - Polera,published,college_1,uniform,,"COLEGIO LOS REYES,Polera",,,,,,,CL,,
