fecha,item,hora,concepto,monto,responsable
2023-04-04 00:00:00,1,1899-12-30 05:16:00,retiro,60000,cary
2023-04-10 00:00:00,1,1899-12-30 05:29:00,fete,16000,cary
2023-04-12 00:00:00,1,1899-12-30 10:19:00,retiro,80000,
2023-04-17 00:00:00,1,1899-12-30 04:07:00,RETIRO,60000,CARY
2023-04-19 00:00:00,1,1899-12-30 01:38:00,flete,4000,cary
2023-04-20 00:00:00,1,1899-12-30 01:06:00,RETIRO,50000,CARY
2023-04-20 00:00:00,2,1899-12-30 05:08:00,RETIRO,30000,CARY
2023-04-25 00:00:00,1,1899-12-30 05:06:00,retiro,80000,cary
2023-04-26 00:00:00,1,1899-12-30 03:37:00,propina,5000,cary
2023-04-27 00:00:00,1,1899-12-30 11:15:00,retiro,60000,cary
2023-04-28 00:00:00,1,1899-12-30 01:45:00,RETIRO,40000,CARY
2023-04-28 00:00:00,2,1899-12-30 14:45:00,FLETE,12000,CLAUDIA
2023-05-08 00:00:00,1,1899-12-30 05:17:00,reiro,80000,cary
2023-05-09 00:00:00,1,1899-12-30 01:57:00,retiro,70000,cary
2023-05-10 00:00:00,1,1899-12-30 02:07:00,retiro,8000,cary
2023-05-11 00:00:00,1,1899-12-30 14:45:00,FLETE,4000,CLAUDIA
2023-05-11 00:00:00,2,1899-12-30 05:29:00,RETIRO,70000,CARY
2023-05-12 00:00:00,1,1899-12-30 14:50:00,FLETE,4000,CLAUDIA
2023-05-18 00:00:00,1,1899-12-30 05:34:00,retiro,50000,cary
2023-05-22 00:00:00,1,1899-12-30 01:17:00,flete,4000,cary
2023-05-24 00:00:00,1,1899-12-30 04:46:00,retiro,90000,cary
2023-05-26 00:00:00,1,1899-12-30 14:30:00,retiro,80000,claudia
2023-05-30 00:00:00,1,1899-12-30 03:53:00,FLETE,12000,CARY
2023-06-01 00:00:00,1,1899-12-30 05:18:00,retiro,30000,cary
2023-06-02 00:00:00,1,1899-12-30 01:30:00,flete,30000,cary
2023-06-05 00:00:00,1,1899-12-30 04:45:00,flete,30000,cary
2023-06-06 00:00:00,1,1899-12-30 04:48:00,RETIRO,60000,CARY
2023-06-08 00:00:00,1,1899-12-30 05:26:00,RETIRO,30000,CARY
2023-06-12 00:00:00,1,1899-12-30 05:31:00,colacion,2000,cary
2023-06-13 00:00:00,1,1899-12-30 04:17:00,retiro,50000,cary
2023-06-16 00:00:00,1,1899-12-30 02:27:00,flete,25000,cary
2023-06-19 00:00:00,1,1899-12-30 01:01:00,retiro,50000,cary
2023-06-23 00:00:00,1,1899-12-30 03:40:00,retiro,40000,cary
2023-07-14 00:00:00,1,1899-12-30 04:31:00,RETIRO,50000,CARY
2023-07-18 00:00:00,1,1899-12-30 03:16:00,pasaje cary,5000,cary
2023-07-24 00:00:00,1,1899-12-30 01:23:00,RETIRO,70000,CARY
2023-07-21 00:00:00,1,1899-12-30 12:45:00,flete,5000,claudia
2023-07-27 00:00:00,1,1899-12-30 12:25:00,retiro,100000,claudia
2023-08-01 00:00:00,1,1899-12-30 12:33:00,libreria,7500,cary
2023-08-03 00:00:00,1,1899-12-30 11:34:00,libreria,13000,cary
2023-08-03 00:00:00,2,1899-12-30 05:32:00,CARY,5000,CARY
2023-08-07 00:00:00,1,1899-12-30 05:28:00,retiro,110000,cary
2023-08-11 00:00:00,1,1899-12-30 13:05:00,RETIRO,30000,CLAUDIA
2023-08-16 00:00:00,1,1899-12-30 05:29:00,flete,5000,fabiola
2023-08-18 00:00:00,1,1899-12-30 17:36:00,retiro,60000,claudia
2023-08-21 00:00:00,1,1899-12-30 13:07:00,uber,3000,julia
2023-08-21 00:00:00,2,1899-12-30 17:30:00,retiro,30000,claudia
2023-08-22 00:00:00,1,1899-12-30 13:30:00,flete,10000,julia
2023-08-29 00:00:00,1,1899-12-30 14:00:00,CARTERO,1000,CLAUDIA
2023-08-29 00:00:00,2,1899-12-30 17:30:00,RETIRO,20000,CLAUDIA
2023-08-31 00:00:00,1,1899-12-30 13:35:00,flete,5000,claudia
2023-09-05 00:00:00,1,1899-12-30 17:30:00,RETIRO,40000,JULIA
2023-09-07 00:00:00,1,1899-12-30 17:45:00,retiro,40000,claudia
2023-09-13 00:00:00,1,1899-12-30 15:40:00,retiro,30000,claudia
2023-09-25 00:00:00,1,1899-12-30 18:00:00,retiro,20000,julia
2023-09-29 00:00:00,1,1899-12-30 10:00:00,cortar pasto,5000,claudia
2023-09-29 00:00:00,2,1899-12-30 16:15:00,RETIRO,40000,CLAUDIA
2023-10-03 00:00:00,1,1899-12-30 17:30:00,RETIRO,20000,CLAUDIA
2023-10-04 00:00:00,1,1899-12-30 14:57:00,retiro,20000,claudia
2023-10-04 00:00:00,2,1899-12-30 18:00:00,retiro,20000,julia
2023-10-12 00:00:00,1,1899-12-30 15:00:00,pedro ,10000,claudia
2023-10-17 00:00:00,1,1899-12-30 17:10:00,retioro,20000,claudia
2023-10-19 00:00:00,1,1899-12-30 14:20:00,flete,10000,claudia
2023-10-30 00:00:00,1,1899-12-30 16:20:00,huevos,30000,claudia
2023-10-31 00:00:00,1,1899-12-30 14:00:00,flete,10000,claudia
2023-11-03 00:00:00,1,1899-12-30 14:45:00,flete,5000,claudia
2023-11-08 00:00:00,1,1899-12-30 15:11:00,flete,20000,claudia
2023-11-09 00:00:00,1,1899-12-30 14:20:00,retiro,30000,claudia
2023-11-14 00:00:00,1,1899-12-30 15:30:00,retiro,20000,claudia
2023-11-20 00:00:00,1,1899-12-30 13:10:00,retiro,60000,claudia
2023-11-23 00:00:00,1,1899-12-30 16:15:00,retiro,10000,
2023-11-29 00:00:00,1,1899-12-30 14:10:00,flete,5000,claudia
2023-12-04 00:00:00,1,1899-12-30 13:40:00,flete,5000,claudia
2023-12-04 00:00:00,2,1899-12-30 18:15:00,retiro,30000,claudia
2023-12-06 00:00:00,1,1899-12-30 14:55:00,flete,10000,claudia
2023-12-07 00:00:00,1,1899-12-30 14:52:00,flete,5000,julia
2023-12-11 00:00:00,1,1899-12-30 15:30:00,FLETE,5000,CLAUDIA
2023-12-11 00:00:00,2,1899-12-30 17:30:00,CORTA PASTO,3000,CLAUDIA
2023-12-15 00:00:00,1,1899-12-30 13:40:00,tazon julia,5000,claudia
2024-01-09 00:00:00,1,1899-12-30 15:12:00,retiro,40000,julia
2024-01-11 00:00:00,1,1899-12-30 13:40:00,retiro,60000,claudia
2024-01-15 00:00:00,1,1899-12-30 15:30:00,flete,5000,claudia
2024-01-17 00:00:00,1,1899-12-30 11:53:00,retiro,100000,claudia
2024-01-17 00:00:00,2,1899-12-30 14:50:00,retiro,200000,claudia
2024-01-18 00:00:00,1,1899-12-30 14:10:00,flete,15000,claudia
2024-01-18 00:00:00,2,1899-12-30 17:50:00,RETIRO,30000,CLAUDIA
2024-01-19 00:00:00,1,1899-12-30 12:30:00,retiro,280000,claudia
2024-01-19 00:00:00,2,1899-12-30 13:30:00,retiro,100000,claudia
2024-01-22 00:00:00,1,1899-12-30 14:40:00,retiro,90000,claudia
2024-01-22 00:00:00,2,1899-12-30 17:20:00,RETIRO,100000,CLAUDIA
2024-01-23 00:00:00,1,1899-12-30 14:40:00,retiro,40000,claudia
2024-01-24 00:00:00,1,1899-12-30 11:50:00,retiro,80000,claudia
2024-01-25 00:00:00,1,1899-12-30 12:40:00,RETIRO,250000,CLAUDIA
2024-01-29 00:00:00,1,1899-12-30 17:40:00,RETIRO,40000,CLAUDIA
2024-01-30 00:00:00,1,1899-12-30 11:00:00,RETIRO,80000,CLAUDIA
